ligand,receptor,source,target,ligand_expr,receptor_expr,score,pvalue
VEGFA,KDR,4,3,4.139896373056994,0.1600877192982456,0.6627465684937732,0.013972055888223553
C3,C3AR1,3,4,1.6842105263157894,0.3911917098445596,0.6588491955276793,0.01996007984031936
TNF,TNFRSF1A,9,4,0.29285714285714287,2.1632124352331608,0.6335122131754257,0.001996007984031936
PDGFB,PDGFRB,5,4,0.36496350364963503,1.7279792746113989,0.630649370296131,0.001996007984031936
FGF2,FGFR1,5,4,0.46715328467153283,1.33419689119171,0.623274460118755,0.001996007984031936
PDGFB,PDGFRB,8,2,0.9302325581395349,0.6609808102345416,0.6148658699856201,0.001996007984031936
ICAM1,ITGAL,9,4,1.9071428571428573,0.32124352331606215,0.6126572908956328,0.001996007984031936
TNF,TNFRSF1A,9,1,0.29285714285714287,2.078,0.6085571428571428,0.001996007984031936
FGF2,FGFR1,4,4,0.45595854922279794,1.33419689119171,0.6083384788853392,0.001996007984031936
SELE,CD44,9,3,0.4714285714285714,1.2785087719298245,0.6027255639097744,0.001996007984031936
CD34,SELL,8,8,2.197674418604651,0.27325581395348836,0.6005273120605732,0.001996007984031936
SELE,CD44,9,4,0.4714285714285714,1.2720207253886011,0.5996669133974833,0.001996007984031936
ICAM1,ITGAL,1,3,0.938,0.6337719298245614,0.5944780701754386,0.001996007984031936
