ligand,receptor,source,target,ligand_expr_ctrl,receptor_expr_ctrl,score_ctrl,key,score_rej,ligand_expr_rej,receptor_expr_rej,log2FC
FGF2,FGFR1,3,4,0.0,1.5954545454545455,0.0,FGF2_FGFR1_3_4,0.21761053022663338,0.22026431718061673,0.9879518072289156,7.772219085477355
TGFB1,TGFBR1,10,4,0.0,1.8909090909090909,0.0,TGFB1_TGFBR1_10_4,0.2157200229489386,0.19047619047619047,1.1325301204819278,7.759688641197307
CD86,CD28,3,5,0.0,0.21348314606741572,0.0,CD86_CD28_3_5,0.21522970421648835,0.3766519823788546,0.5714285714285714,7.7564209144299765
VCAM1,ITGA4,4,0,6.8136363636363635,0.0,0.0,VCAM1_ITGA4_4_0,0.2117569177810142,4.379518072289157,0.04835164835164835,7.733062231608913
ICAM1,ITGAL,2,3,0.0,0.5,0.0,ICAM1_ITGAL_2_3,0.20783141054061446,0.32762312633832974,0.6343612334801763,7.706194915202664
TGFB1,TGFBR2,3,2,0.5,0.0,0.0,TGFB1_TGFBR2_3_2,0.20698242602043224,0.23348017621145375,0.8865096359743041,7.700317819274216
ICAM1,ITGAL,6,3,0.0,0.5,0.0,ICAM1_ITGAL_6_3,0.20288129539230862,0.31981981981981983,0.6343612334801763,7.6715856145526775
CXCL9,CXCR3,3,3,1.5,0.0,0.0,CXCL9_CXCR3_3_3,0.20010576568534225,1.2444933920704846,0.16079295154185022,7.651810633956077
ICAM1,ITGAL,2,4,0.0,0.10909090909090909,0.0,ICAM1_ITGAL_2_4,0.19736332911947577,0.32762312633832974,0.6024096385542169,7.63200153310351
VEGFA,KDR,6,2,2.6666666666666665,0.0,0.0,VEGFA_KDR_6_2,0.19734938364488686,1.6756756756756757,0.11777301927194861,7.631900104203486
CCL2,CCR2,3,3,0.0,0.5,0.0,CCL2_CCR2_3_3,0.1970152729530944,0.6343612334801763,0.31057268722466963,7.629467899695346
C3,C3AR1,3,6,3.0,0.0,0.0,C3_C3AR1_3_6,0.1965710203595666,1.6784140969162995,0.11711711711711711,7.6262275382679725
SELE,CD44,3,3,0.0,1.0,0.0,SELE_CD44_3_3,0.19449727338003842,0.15198237885462554,1.2797356828193833,7.6110046760361065
CXCL10,CXCR3,3,3,0.5,0.0,0.0,CXCL10_CXCR3_3_3,0.19373071474315434,1.2048458149779735,0.16079295154185022,7.605336647088175
EGF,EGFR,6,3,2.0,0.0,0.0,EGF_EGFR_6_3,0.19295947930309165,0.9954954954954955,0.19383259911894274,7.599611475617605
ICAM1,ITGAL,6,4,0.0,0.10909090909090909,0.0,ICAM1_ITGAL_6_4,0.19266254206013245,0.31981981981981983,0.6024096385542169,7.597401126627817
PDGFB,PDGFRB,3,2,0.0,0.0,0.0,PDGFB_PDGFRB_3_2,0.19154034091445069,0.28854625550660795,0.6638115631691649,7.589016939685245
CCL2,CCR2,3,4,0.0,0.23636363636363636,0.0,CCL2_CCR2_3_4,0.1910726606868001,0.6343612334801763,0.30120481927710846,7.585508372502694
CCL2,CCR2,3,10,0.0,0.041666666666666664,0.0,CCL2_CCR2_3_10,0.18124606670862178,0.6343612334801763,0.2857142857142857,7.509743867969186
