niche,Proximal_Tubule,Loop_of_Henle,Distal_Tubule,Collecting_Duct_PC,Collecting_Duct_IC,Podocyte,Endothelial,Mesangial,Fibroblast,Macrophage,T_Cell,B_Cell,NK_Cell,Plasma_Cell
0,0.17258289751191475,0.07204863667631588,0.08997595465834937,0.056109328263809495,0.05537543845446186,0.056064395380652256,0.06268995786400691,0.05407944029232339,0.08603865695938018,0.06106897239800258,0.048319328870711456,0.043242247399533876,0.05625558023393662,0.08614916503660139
1,0.0911372694150527,0.20466324136076894,0.054874594501393335,0.07422257656485354,0.04588222254630532,0.05040461473433893,0.06043178192115636,0.04957096303738693,0.08271723232877072,0.051013650002616456,0.04955702317518135,0.04572379273747376,0.05535822308732527,0.0844428145873764
2,0.07329967760400818,0.04186457455636163,0.04084840038903091,0.036833482541261536,0.037942074193311505,0.04861921613981826,0.07253474027312296,0.05225563863534583,0.12945227993398978,0.14800946960936323,0.09743845600880838,0.04017606163514375,0.07803097021537402,0.10269495826506002
3,0.08482418424231015,0.08803120861708193,0.09293266499798175,0.16323523078627022,0.10913274439237894,0.04541999407779796,0.055051266517156174,0.046356836027214986,0.07906585103033358,0.045080970433328614,0.04338932339187681,0.03583675915562121,0.049701407808593154,0.06194155852205451
4,0.0501591726051233,0.04661853862602995,0.03904976093353652,0.046919988108856454,0.034464207676973765,0.048213313242038494,0.07246609791844048,0.04634456615167718,0.10240979153729206,0.09672445148003746,0.08164090118343044,0.10940141709301081,0.07049784428563823,0.15508994915791488
5,0.06528852926472567,0.059607521930113046,0.057404713179739206,0.0481933927007189,0.047771964160633895,0.13730455463417904,0.10776855926670645,0.11558365442745017,0.08861289809770755,0.05653760438640994,0.054744952166486,0.03829334089660534,0.06866910437321815,0.05421921051530668
